"area","epiweek","Rt","CIlow","CIup","Rtnext","CIupnext","CIlownext","sgss_s_positive","sgss_s_negative","total_cases","probs","sgss_s_negative_corrected","sgss_s_positive_corrected","freq"
"Bristol, City of","50",1.20769583695273,0.906437149313348,1.57173597155695,1.27019645686282,1.74444389504205,0.890842874602628,118,46,434,1,46,118,28.0487804878049
"Bromley","45",1.10753698527871,0.966325672183494,1.26180144502158,1.06947017505488,1.20726155433109,0.915936969105427,104,7,349,0.676908460156994,4.73835922109896,106.261640778901,4.26879209108014
"Bromley","46",1.06947017505488,0.915936969105427,1.20726155433109,1.13549125352757,1.27961593173945,0.981384719593664,54,7,490,0.845240320485088,5.91668224339562,55.0833177566044,9.6994790875338
"Bromley","47",1.13549125352757,0.981384719593664,1.27961593173945,1.35801739613387,1.52382213482324,1.21324115504819,105,54,423,0.918399562019087,49.5935763490307,109.406423650969,31.190928521403
"Bromley","48",1.35801739613387,1.21324115504819,1.52382213482324,1.59358663093648,1.77582171969344,1.43860112963693,106,135,452,0.958248123412618,129.363496660703,111.636503339297,53.6777994442753
"Bromley","49",1.59358663093648,1.43860112963693,1.77582171969344,1.70082989560963,1.95605924164295,1.48161740407005,81,213,577,0.98159713778779,209.080190348799,84.9198096512007,71.115711002993
"Bromley","50",1.70082989560963,1.48161740407005,1.95605924164295,1.69711081772979,1.99861741959606,1.44416150463715,129,583,1089,1,583,129,81.8820224719101
"Bromsgrove","50",0.990891117034482,0.869791439683422,1.13927831717849,0.987687807974151,1.14894686528937,0.857578493408675,48,9,129,1,9,48,15.7894736842105
"Broxbourne","47",1.16072190903053,0.991910312955362,1.31475810924052,1.36117065022201,1.54276367933535,1.20565496295108,52,10,184,0.825086774322562,8.25086774322562,53.7491322567744,13.307851198751
"Broxbourne","48",1.36117065022201,1.20565496295108,1.54276367933535,1.5134505436105,1.71889715670661,1.35285845406666,40,35,150,0.905831109031277,31.7040888160947,43.2959111839053,42.2721184214596
"Broxbourne","49",1.5134505436105,1.35285845406666,1.71889715670661,1.54026203599265,1.7990500051593,1.31387930411432,58,85,244,0.957183657335623,81.360610873528,61.639389126472,56.8955320793902
"Broxbourne","50",1.54026203599265,1.31387930411432,1.7990500051593,1.50791075104704,1.79374442447902,1.24730704533597,51,232,534,1,232,51,81.9787985865724
"Broxtowe","49",1.0023678686917,0.846833889079869,1.20255085662181,1.03365588083296,1.30728812797739,0.827557436408355,88,9,106,0.620425334600436,5.58382801140392,91.4161719885961,5.75652372309683
"Broxtowe","50",1.03365588083296,0.827557436408355,1.30728812797739,1.03595836597508,1.34280881535459,0.806298486505433,117,22,137,1,22,117,15.8273381294964
"Burnley","48",1.00211621996686,0.883719186172731,1.11836102054613,1.0994274074559,1.26238000657066,0.965158266187458,196,7,241,0.303199704715098,2.12239793300569,200.877602066994,1.04551622315551
"Burnley","49",1.0994274074559,0.965158266187458,1.26238000657066,1.14731983395895,1.38852127456585,0.967582196324216,142,20,194,0.502801283974461,10.0560256794892,151.943974320511,6.20742325894396
"Burnley","50",1.14731983395895,0.967582196324216,1.38852127456585,1.14392983492508,1.42145840620618,0.949054143850311,153,63,261,1,63,153,29.1666666666667
"Bury","49",0.901005796259869,0.799022512561728,1.02074482715343,0.909008634378131,1.08651493413757,0.767830272238958,245,9,377,0.618601789153463,5.56741610238117,248.432583897619,2.19189610329967
"Bury","50",0.909008634378131,0.767830272238958,1.08651493413757,0.907017577161065,1.11969149991606,0.745310748698319,244,10,355,1,10,244,3.93700787401575
"Calderdale","48",0.780045629320489,0.68044727885182,0.886916687838287,0.814482255347169,0.944516933671971,0.702912958305346,93,10,466,0.302908905725938,3.02908905725938,99.9709109427406,2.94086316238775
"Camden","46",0.917678900270716,0.759548895010126,1.08990858831726,0.995167135097292,1.17280762750391,0.81682565863277,19,6,337,0.695943278220462,4.17565966932277,20.8243403306772,16.7026386772911
"Camden","47",0.995167135097292,0.81682565863277,1.17280762750391,1.24990990075481,1.45415654089657,1.0516888635092,88,12,209,0.82507316692717,9.90087800312604,90.099121996874,9.90087800312604
"Camden","48",1.24990990075481,1.0516888635092,1.45415654089657,1.60161288837849,1.86109834644945,1.38576271585549,91,25,226,0.905823066167307,22.6455766541827,93.3544233458173,19.5220488398127
"Camden","49",1.60161288837849,1.38576271585549,1.86109834644945,1.83165422808197,2.2031736880282,1.52373423321492,61,55,233,0.957179793105502,52.6448886208026,63.3551113791974,45.3835246731057
"Camden","50",1.83165422808197,1.52373423321492,2.2031736880282,1.87412831987348,2.29875050182281,1.51184615543362,68,145,432,1,145,68,68.075117370892
"Cannock Chase","49",1.01083037063505,0.868895354234904,1.18691750646138,1.04060408830192,1.2957799455811,0.843596244264486,122,12,157,0.694636576297107,8.33563891556528,125.664361084435,6.220626056392
"Cannock Chase","50",1.04060408830192,0.843596244264486,1.2957799455811,1.04218390298985,1.34043265714858,0.815080495566939,101,29,189,1,29,101,22.3076923076923
"Canterbury","45",1.28984654549129,1.23178290191886,1.35512075042684,1.2804801631596,1.34054284783382,1.21760066968959,21,18,180,0.982954815202881,17.6931866736519,21.3068133263481,45.367145317056
"Canterbury","46",1.2804801631596,1.21760066968959,1.34054284783382,1.27755000049247,1.33592180649803,1.21501176686933,6,16,401,0.993391988588332,15.8942718174133,6.10572818258669,72.2466900791514
"Canterbury","47",1.27755000049247,1.21501176686933,1.33592180649803,1.27925315523389,1.34423258467497,1.22121005665024,27,24,337,0.996782387850647,23.9227773084155,27.0772226915845,46.9074064870893
"Canterbury","48",1.27925315523389,1.22121005665024,1.34423258467497,1.2740090164508,1.34714548407914,1.21277187311373,22,84,345,0.998419539631616,83.8672413290557,22.1327586709443,79.1200389896752
"Canterbury","49",1.2740090164508,1.21277187311373,1.34714548407914,1.25866154863803,1.34945412524888,1.1878837581227,13,127,446,0.999319342083733,126.913556444634,13.0864435553659,90.6525403175958
"Canterbury","50",1.25866154863803,1.1878837581227,1.34945412524888,1.23908693110217,1.33759749411485,1.16441639473102,26,337,796,1,337,26,92.8374655647383
"Castle Point","47",1.10039068207743,0.900520217726966,1.30144265330065,1.3543587364116,1.57062338379617,1.1345907385784,45,12,163,0.89776502811016,10.7731803373219,46.2268196626781,18.9003163812665
"Castle Point","48",1.3543587364116,1.1345907385784,1.57062338379617,1.77579128215441,2.05493288103506,1.52585000617832,36,37,139,0.94710990148037,35.0430663547737,37.9569336452263,48.0042004859914
"Castle Point","49",1.77579128215441,1.52585000617832,2.05493288103506,2.03618128354238,2.47169460703413,1.69376599635376,33,44,120,0.976535246804024,42.9675508593771,34.0324491406229,55.8020141030871
